LaburMetraia;1;Room 8;5;Amalurra;;;;
LaburMetraia;2;The landing;5;Mari;;;;
LaburMetraia;3;Lucas in Love;5;Lamia;;;;
LaburMetraia;4;La culpa;5;Sorgi�ak;;;;
LaburMetraia;5;Paperman;2;Galtxagorri;;;;
LaburMetraia;6;Mam�;3;Sugaar;;;;
LaburMetraia;7;Sequence;2;Gaueko;;;;
LaburMetraia;8;Bad motherfucker;3;Mateo Txistu;;;;
Pelikula;9;The lighthouse;100;;Komeria,  Beldurra;E16;;
Pelikula;10;Markel into the Markel-verse;100;;Akzioa, Super heroiak, Animaziao;E7;;
Pelikula;11;Inglourious Basterds;150;;Komeria, Akzioa, Guda;E16;;
Pelikula;12;The manke of Wall Street;150;;Komeria;E16;;
Pelikula;13;Akira;150;;Misterioa, Zientzia-fikzioa, Animazioa;E7;;
Pelikula;14;Lord of the NFTs: Fellowship of the right click;200;;Fantasia;E12;;
Pelikula;15;Lord of the NFTs: The two golems;200;;Fantasia;E12;;
Pelikula;16;Lord of the NFTs: The return of the ponzi scheme;200;;Fantasia;E12;;
Pelikula;17;SpongeBob Movie: Sponge on the run;100;;Zinema musikala, Animazioa;Ai;;
Pelikula;18;Little Miss Sunshine;100;;Drama, Komeria;E7;;
Pelikula;19;Muerte en la piscina;100;;Komeria, Akzioa;E18;;
Dokumentala;20;Messi Messi Messi;200;;;;Argentina;Messi
Dokumentala;21;Dordoka;100;;;;Animaliak;National Geographic
Dokumentala;22;Xabiren Lorategia;69;;;;Gizakiaren bakardadea;Elorrieta
